"","date","IsDustyDay"
"310",20171106,0
"311",20171107,0
"312",20171108,1
"313",20171109,1
"314",20171110,0
"315",20171111,1
"316",20171112,0
"317",20171113,0
"318",20171114,0
"319",20171115,0
"320",20171116,0
"321",20171117,0
"322",20171118,0
"323",20171119,0
"324",20171120,0
"325",20171121,1
"326",20171122,1
"327",20171123,0
"328",20171124,0
"329",20171125,0
"330",20171126,0
"331",20171127,1
"332",20171128,1
"333",20171129,1
"334",20171130,0
"335",20171201,0
"336",20171202,0
"337",20171203,1
"338",20171204,0
"339",20171205,0
"340",20171206,0
"341",20171207,0
"342",20171208,0
"343",20171209,0
"344",20171210,0
"345",20171211,0
"346",20171212,0
"347",20171213,0
"348",20171214,1
"349",20171215,1
"350",20171216,1
"351",20171217,0
"352",20171218,1
"353",20171219,0
"354",20171220,0
"355",20171221,1
"356",20171222,1
"357",20171223,1
"358",20171224,1
"359",20171225,0
"360",20171226,0
"361",20171227,0
"362",20171228,0
"363",20171229,1
"364",20171230,1
"365",20171231,1
