"","date","dust_avg","fine_avg","dust_grade","fine_grade","IsDustyDay"
"802",20190729,15,8,1,1,0
"803",20190728,15,9.5,1,2,0
"804",20190727,19,13,2,2,0
"805",20190726,18,13,2,2,0
"806",20190725,24,17,2,3,0
"807",20190724,23.5,15,2,2,0
"808",20190723,28,17,2,3,0
"809",20190722,43,32,4,5,1
"810",20190721,15,9.5,1,2,0
"811",20190720,9,5,1,1,0
"812",20190719,33,25,3,4,0
"813",20190718,64,53,5,7,1
"814",20190717,60,47,5,6,1
"815",20190716,34,24,3,4,0
"816",20190715,42,31.5,4,5,1
"817",20190714,42,36,4,5,1
"818",20190713,32,25,3,4,0
"819",20190712,14,8,1,1,0
"820",20190711,8,3,1,1,0
"821",20190710,11,6,1,1,0
"822",20190709,11,6,1,1,0
"823",20190708,10,5,1,1,0
"824",20190707,18,12,2,2,0
"825",20190706,30,21,2,4,0
"826",20190705,35,22,3,4,0
"827",20190704,32,21,3,4,0
"828",20190703,33,24,3,4,0
"829",20190702,31,22,3,4,0
"830",20190701,35,25,3,4,0
"831",20190630,32.5,25,3,4,0
"832",20190629,26,19,2,3,0
"833",20190628,43,32,4,5,1
"834",20190627,19.5,14,2,2,0
"835",20190626,35,24,3,4,0
"836",20190625,32,20.5,3,3,0
"837",20190624,23,13,2,2,0
"838",20190623,12,7,1,1,0
"839",20190622,13,6,1,1,0
"840",20190621,27,18,2,3,0
"841",20190620,28.5,19,2,3,0
"842",20190619,34,24.5,3,4,0
"843",20190618,32.5,20.5,3,3,0
"844",20190617,24.5,15,2,2,0
"845",20190616,17,10,2,2,0
"846",20190615,38,20.5,3,3,0
"847",20190614,34,22,3,4,0
"848",20190613,32,19,3,3,0
"849",20190612,33,17,3,3,0
"850",20190611,13,7,1,1,0
"851",20190610,11,5,1,1,0
"852",20190609,37,29,3,5,1
"853",20190608,26,16,2,3,0
"854",20190607,13,8,1,1,0
"855",20190606,60,38,5,6,1
"856",20190605,52,33,5,5,1
"857",20190604,30,19,2,3,0
"858",20190603,40.5,22,3,4,0
"859",20190602,38,23,3,4,0
"860",20190601,34,23.5,3,4,0
"861",20190531,21,11,2,2,0
"862",20190530,47.5,24.5,4,4,0
"863",20190529,49.5,22.5,4,4,0
"864",20190528,23,8,2,1,0
"865",20190527,23,14,2,2,0
"866",20190526,41,23,4,4,0
"867",20190525,86,56,6,7,1
"868",20190524,85,52,6,7,1
"869",20190523,74,42.5,5,6,1
"870",20190522,57.5,27,5,5,1
"871",20190521,52,17,5,3,1
"872",20190520,39,12,3,2,0
"873",20190519,14,10,1,2,0
"874",20190518,32,17,3,3,0
"875",20190517,56.5,38.5,5,6,1
"876",20190516,70.5,43.5,5,6,1
"877",20190515,69,45,5,6,1
"878",20190514,46,31,4,5,1
"879",20190513,58.5,36.5,5,5,1
"880",20190512,59.5,37.5,5,5,1
"881",20190511,69,36,5,5,1
"882",20190510,62.5,33.5,5,5,1
"883",20190509,49.5,23.5,4,4,0
"884",20190508,54,22.5,5,4,1
"885",20190507,50,17,4,3,0
"886",20190506,35,10,3,2,0
"887",20190505,65,41.5,5,6,1
"888",20190504,92.5,57,6,7,1
"889",20190503,61,28,5,5,1
"890",20190502,57.5,15,5,2,1
"891",20190501,61.5,26,5,5,1
"892",20190430,36,21,3,4,0
"893",20190429,24.5,15,2,2,0
"894",20190428,20,13,2,2,0
"895",20190427,19,10,2,2,0
"896",20190426,10.5,6,1,1,0
"897",20190425,42.5,18,4,3,0
"898",20190424,58,37,5,5,1
"899",20190423,95,41,6,6,1
"900",20190422,89.5,36,6,5,1
"901",20190421,31.5,21.5,3,4,0
"902",20190420,45.5,22.5,4,4,0
"903",20190419,43,21.5,4,4,0
"904",20190418,38,20,3,3,0
"905",20190417,42,20,4,3,0
"906",20190416,50,22,4,4,0
"907",20190415,53,16.5,5,3,1
"908",20190414,39,21,3,4,0
"909",20190413,49.5,32,4,5,1
"910",20190412,50,30,4,5,1
"911",20190411,28,16,2,3,0
"912",20190410,8,5,1,1,0
"913",20190409,27.5,11,2,2,0
"914",20190408,38,13,3,2,0
"915",20190407,38,15,3,2,0
"916",20190406,64.5,20,5,3,1
"917",20190405,77,23,6,4,1
"918",20190404,36,19.5,3,3,0
"919",20190403,39.5,22,3,4,0
"920",20190402,32.5,17,3,3,0
"921",20190401,24.5,12,2,2,0
"922",20190331,44,26,4,5,1
"923",20190330,35,23,3,4,0
"924",20190329,40,19,3,3,0
"925",20190328,84,52,6,7,1
"926",20190327,93,58,6,7,1
"927",20190326,56.5,33,5,5,1
"928",20190325,48,28,4,5,1
"929",20190324,28.5,13,2,2,0
"930",20190323,25.5,15,2,2,0
"931",20190322,40,19.5,3,3,0
"932",20190321,32,23.5,3,4,0
"933",20190320,100,72,6,7,1
"934",20190319,63.5,39,5,6,1
"935",20190318,39.5,23,3,4,0
"936",20190315,70.5,40,5,6,1
"937",20190314,41.5,19,4,3,0
"938",20190308,53,28,5,5,1
"939",20190307,59,41.5,5,6,1
"940",20190306,145,104,7,8,1
"941",20190305,188,141.5,8,8,1
"942",20190304,161,115,8,8,1
"943",20190303,101,72.5,7,7,1
"944",20190302,118.5,85.5,7,8,1
"945",20190301,117,83.5,7,8,1
"946",20190228,89.5,59.5,6,7,1
"947",20190227,68.5,45,5,6,1
"948",20190226,53,27,5,5,1
"949",20190225,85.5,64,6,7,1
"950",20190224,59,46,5,6,1
"951",20190223,54,39,5,6,1
"952",20190222,74,57.5,5,7,1
"953",20190221,77,63,6,7,1
"954",20190220,57,48.5,5,6,1
"955",20190219,43,33.5,4,5,1
"956",20190218,41,26,4,5,1
"957",20190217,36,25,3,4,0
"958",20190216,59.5,50,5,6,1
"959",20190215,39,28,3,5,1
"960",20190214,50,25,4,4,0
"961",20190213,40,21,3,4,0
"962",20190212,58,38,5,6,1
"963",20190211,39,22,3,4,0
"964",20190210,42,22,4,4,0
"965",20190209,35,16,3,3,0
"966",20190208,31,16,3,3,0
"967",20190207,62.5,32,5,5,1
"968",20190206,95,34,6,5,1
"969",20190205,83.5,27,6,5,1
"970",20190204,73.5,36,5,5,1
"971",20190203,37,27,3,5,1
"972",20190202,57,33.5,5,5,1
"973",20190201,39,17,3,3,0
"974",20190131,73.5,20.5,5,3,1
"975",20190130,63,32.5,5,5,1
"976",20190129,68.5,22,5,4,1
"977",20190128,86,25,6,4,1
"978",20190127,37,21,3,4,0
"979",20190126,43,19,4,3,0
"980",20190125,48.5,22,4,4,0
"981",20190124,43,21,4,4,0
"982",20190123,75.5,48,5,6,1
"983",20190122,65.5,30,5,5,1
"984",20190121,43,21,4,4,0
"985",20190120,67.5,35,5,5,1
"986",20190119,94,66,6,7,1
"987",20190118,55.5,35,5,5,1
"988",20190117,44.5,22,4,4,0
"989",20190116,47,17,4,3,0
"990",20190115,138,90.5,7,8,1
"991",20190114,159,124.5,8,8,1
"992",20190113,109,79.5,7,8,1
"993",20190112,94,70,6,7,1
"994",20190111,74,54,5,7,1
"995",20190110,57.5,32.5,5,5,1
"996",20190109,50.5,21,4,4,0
"997",20190108,41,19,4,3,0
"998",20190107,55,35,5,5,1
"999",20190106,51,22,5,4,1
"1000",20190105,64,41,5,6,1
"1001",20190104,57.5,39,5,6,1
"1002",20190103,38.5,22,3,4,0
"1003",20190102,33,21,3,4,0
"1004",20190101,38,25,3,4,0
