"","date","time","gungu","whole_pop"
"163",20190302,16,"마포구",350410
"164",20190302,16,"서대문구",238220
"165",20190302,16,"서초구",420490
"166",20190302,16,"성동구",229700
"167",20190302,16,"성북구",298950
"168",20190302,16,"송파구",515090
"169",20190302,16,"양천구",298180
"170",20190302,16,"영등포구",368100
"171",20190302,16,"용산구",227930
"172",20190302,16,"은평구",304140
"173",20190302,16,"종로구",275540
"174",20190302,16,"중구",245360
"175",20190302,16,"중랑구",272220
"176",20190302,17,"강남구",550960
"177",20190302,17,"강동구",307950
"178",20190302,17,"강북구",227470
"179",20190302,17,"강서구",413330
"180",20190302,17,"관악구",366470
"181",20190302,17,"광진구",288580
"182",20190302,17,"구로구",323970
"183",20190302,17,"금천구",197360
"184",20190302,17,"노원구",376660
"185",20190302,17,"도봉구",221130
"186",20190302,17,"동대문구",280420
"187",20190302,17,"동작구",290350
"188",20190302,17,"마포구",358150
"189",20190302,17,"서대문구",240920
"190",20190302,17,"서초구",405950
"191",20190302,17,"성동구",230120
"192",20190302,17,"성북구",304180
"193",20190302,17,"송파구",516520
"194",20190302,17,"양천구",303140
"195",20190302,17,"영등포구",366750
"196",20190302,17,"용산구",225830
"197",20190302,17,"은평구",310260
"198",20190302,17,"종로구",256130
"199",20190302,17,"중구",225440
"200",20190302,17,"중랑구",278720
"201",20190302,18,"강남구",526230
"202",20190302,18,"강동구",311640
"203",20190302,18,"강북구",235750
"204",20190302,18,"강서구",419110
"205",20190302,18,"관악구",378550
"206",20190302,18,"광진구",293430
"207",20190302,18,"구로구",332580
"208",20190302,18,"금천구",196520
"209",20190302,18,"노원구",385600
"210",20190302,18,"도봉구",225450
"211",20190302,18,"동대문구",280670
"212",20190302,18,"동작구",295670
"213",20190302,18,"마포구",360010
"214",20190302,18,"서대문구",243920
"215",20190302,18,"서초구",389450
"216",20190302,18,"성동구",230850
"217",20190302,18,"성북구",310630
"218",20190302,18,"송파구",516650
"219",20190302,18,"양천구",309890
"220",20190302,18,"영등포구",361850
"221",20190302,18,"용산구",221100
"222",20190302,18,"은평구",319330
"223",20190302,18,"종로구",232590
"224",20190302,18,"중구",203760
"225",20190302,18,"중랑구",287020
"226",20190302,19,"강남구",504930
"227",20190302,19,"강동구",317600
"228",20190302,19,"강북구",242990
"229",20190302,19,"강서구",423810
"230",20190302,19,"관악구",388220
"231",20190302,19,"광진구",296010
"232",20190302,19,"구로구",334840
"233",20190302,19,"금천구",195840
"234",20190302,19,"노원구",395880
"235",20190302,19,"도봉구",231230
"236",20190302,19,"동대문구",280400
"237",20190302,19,"동작구",300710
"238",20190302,19,"마포구",360450
"239",20190302,19,"서대문구",246510
"240",20190302,19,"서초구",375400
"241",20190302,19,"성동구",230840
"242",20190302,19,"성북구",316690
"243",20190302,19,"송파구",513510
"244",20190302,19,"양천구",315950
"245",20190302,19,"영등포구",358210
"246",20190302,19,"용산구",217930
"247",20190302,19,"은평구",328280
"248",20190302,19,"종로구",212140
"249",20190302,19,"중구",183120
"250",20190302,19,"중랑구",293750
"251",20190302,20,"강남구",488710
"252",20190302,20,"강동구",322860
"253",20190302,20,"강북구",247130
"254",20190302,20,"강서구",428550
"255",20190302,20,"관악구",397790
"256",20190302,20,"광진구",297560
"257",20190302,20,"구로구",341090
"258",20190302,20,"금천구",196000
"259",20190302,20,"노원구",402630
"260",20190302,20,"도봉구",238700
"261",20190302,20,"동대문구",282680
"262",20190302,20,"동작구",306190
"263",20190302,20,"마포구",357970
"264",20190302,20,"서대문구",247500
"265",20190302,20,"서초구",365990
"266",20190302,20,"성동구",233570
"267",20190302,20,"성북구",322940
"268",20190302,20,"송파구",508200
"269",20190302,20,"양천구",323200
"270",20190302,20,"영등포구",350840
"271",20190302,20,"용산구",215520
"272",20190302,20,"은평구",336520
"273",20190302,20,"종로구",194080
"274",20190302,20,"중구",163600
"275",20190302,20,"중랑구",300310
"276",20190303,10,"강남구",489840
"277",20190303,10,"강동구",326920
"278",20190303,10,"강북구",239530
"279",20190303,10,"강서구",432230
"280",20190303,10,"관악구",398420
"281",20190303,10,"광진구",282420
"282",20190303,10,"구로구",343320
"283",20190303,10,"금천구",192410
"284",20190303,10,"노원구",403430
"285",20190303,10,"도봉구",246880
"286",20190303,10,"동대문구",287050
"287",20190303,10,"동작구",301940
"288",20190303,10,"마포구",304570
"289",20190303,10,"서대문구",241010
"290",20190303,10,"서초구",374360
"291",20190303,10,"성동구",229550
"292",20190303,10,"성북구",328360
"293",20190303,10,"송파구",490410
"294",20190303,10,"양천구",326710
"295",20190303,10,"영등포구",363580
"296",20190303,10,"용산구",208140
"297",20190303,10,"은평구",335940
"298",20190303,10,"종로구",180740
"299",20190303,10,"중구",168310
"300",20190303,10,"중랑구",293310
"301",20190303,11,"강남구",508280
"302",20190303,11,"강동구",324810
"303",20190303,11,"강북구",237370
"304",20190303,11,"강서구",428970
"305",20190303,11,"관악구",393790
"306",20190303,11,"광진구",281380
"307",20190303,11,"구로구",342710
"308",20190303,11,"금천구",192600
"309",20190303,11,"노원구",397220
"310",20190303,11,"도봉구",240680
"311",20190303,11,"동대문구",288460
"312",20190303,11,"동작구",296070
"313",20190303,11,"마포구",310390
"314",20190303,11,"서대문구",240740
"315",20190303,11,"서초구",387630
"316",20190303,11,"성동구",226750
"317",20190303,11,"성북구",324040
"318",20190303,11,"송파구",490370
"319",20190303,11,"양천구",320100
"320",20190303,11,"영등포구",371960
