"","date","fine_dust_grade","hyper_dust_grade"
"1",20180101,4,2
"2",20180102,4,2
"3",20180103,3,2
"4",20180104,4,2
"5",20180105,5,3
"6",20180106,5,2
"7",20180107,5,3
"8",20180108,5,3
"9",20180109,4,2
"10",20180110,3,1
"11",20180111,3,2
"12",20180112,2,1
"13",20180113,5,3
"14",20180114,5,5
"15",20180115,5,4
"16",20180116,7,6
"17",20180117,7,6
"18",20180118,6,5
"19",20180119,5,2
"20",20180120,7,5
"21",20180121,5,3
"22",20180122,4,2
"23",20180123,2,1
"24",20180124,3,1
"25",20180125,2,1
"26",20180126,3,2
"27",20180127,4,2
"28",20180128,3,2
"29",20180129,4,2
"30",20180130,4,2
"31",20180131,4,2
"32",20180201,4,2
"33",20180202,5,3
"34",20180203,3,2
"35",20180204,3,2
"36",20180205,2,1
"37",20180206,3,2
"38",20180207,4,2
"39",20180208,5,3
"40",20180209,5,4
"41",20180210,6,4
"42",20180211,5,1
"43",20180212,4,1
"44",20180213,5,2
"45",20180214,5,2
"46",20180215,4,1
"47",20180216,4,2
"48",20180218,3,2
"49",20180219,5,3
"50",20180220,5,4
"51",20180221,3,2
"52",20180222,4,2
"53",20180223,6,5
"54",20180224,6,5
"55",20180225,4,3
"56",20180226,5,4
"57",20180227,6,5
"58",20180228,5,4
"59",20180301,4,3
"60",20180302,5,2
"61",20180303,5,2
"62",20180304,3,2
"63",20180305,1,1
"64",20180306,3,2
"65",20180307,2,2
"66",20180308,3,2
"67",20180309,5,3
"68",20180310,4,3
"69",20180311,5,4
"70",20180312,7,5
"71",20180313,5,3
"72",20180314,2,1
"73",20180315,2,2
"74",20180316,1,1
"75",20180317,3,2
"76",20180318,5,4
"77",20180319,3,2
"78",20180320,2,1
"79",20180409,4,2
"80",20180410,4,2
"81",20180411,5,2
"82",20180412,4,2
"83",20180413,3,1
"84",20180414,2,1
"85",20180415,6,2
"86",20180416,4,2
"87",20180417,5,3
"88",20180418,5,3
"89",20180419,6,3
"90",20180421,6,4
"91",20180422,3,2
"92",20180423,1,1
"93",20180424,1,1
"94",20180425,3,2
"95",20180426,4,3
"96",20180427,5,3
"97",20180428,5,4
"98",20180429,5,3
"99",20180430,6,5
"100",20180501,5,4
"101",20180502,4,3
"102",20180503,3,1
