"","date","fine_dust_grade","hyper_dust_grade"
"289",20171016,3,2
"290",20171017,3,2
"291",20171018,2,1
"292",20171019,2,1
"293",20171020,3,2
"294",20171021,3,2
"295",20171022,2,1
"296",20171023,2,1
"297",20171024,3,2
"298",20171025,4,2
"299",20171026,5,2
"300",20171027,5,3
"301",20171028,4,2
"302",20171029,5,2
"303",20171030,3,1
"304",20171031,3,1
"305",20171101,4,2
"306",20171102,5,2
"307",20171103,4,2
"308",20171104,5,3
"309",20171105,4,2
"310",20171106,3,2
"311",20171107,4,2
"312",20171108,5,2
"313",20171109,5,2
"314",20171110,4,2
"315",20171111,5,1
"316",20171112,3,2
"317",20171113,4,2
"318",20171114,4,2
"319",20171115,2,1
"320",20171116,2,1
"321",20171117,4,2
"322",20171118,4,2
"323",20171119,2,1
"324",20171120,3,2
"325",20171121,5,3
"326",20171122,5,3
"327",20171123,2,1
"328",20171124,2,1
"329",20171125,2,2
"330",20171126,3,2
"331",20171127,5,2
"332",20171128,6,4
"333",20171129,5,2
"334",20171130,2,1
"335",20171201,2,1
"336",20171202,4,2
"337",20171203,5,3
"338",20171204,4,2
"339",20171205,2,1
"340",20171206,3,2
"341",20171207,4,3
"342",20171208,3,2
"343",20171209,4,2
"344",20171210,4,2
"345",20171211,4,1
"346",20171212,3,2
"347",20171213,3,2
"348",20171214,5,3
"349",20171215,6,5
"350",20171216,5,4
"351",20171217,3,1
"352",20171218,5,3
"353",20171219,4,2
"354",20171220,4,2
"355",20171221,5,3
"356",20171222,5,4
"357",20171223,7,6
"358",20171224,6,5
"359",20171225,3,1
"360",20171226,3,1
"361",20171227,2,1
"362",20171228,4,2
"363",20171229,6,5
"364",20171230,7,6
"365",20171231,5,3
