2019년 집계구코드,도로명 주소
1101060010005 ,서울특별시 종로구 창덕궁1길 16
1101060010006 ,서울특별시 종로구 와룡공원길 192
1101060010007 ,서울특별시 종로구 계동길 84-6
1101060010008 ,서울특별시 종로구 창덕궁5길 22-4
1101060020001 ,서울특별시 종로구 북촌로11길 11
1101061010001 ,서울특별시 종로구 율곡로 99
1101061020001 ,서울특별시 종로구 종로 157
1101061020002 ,서울특별시 종로구 창경궁로 128-2
1101061020301 ,서울특별시 종로구 종로 183
1101061030001 ,서울특별시 종로구 우정국로 38-13
1101061030002 ,서울특별시 종로구 율곡로 5
1101061030003 ,서울특별시 종로구 삼일대로 446-11
1101061030004 ,서울특별시 종로구 인사동1길 16
1101061030005 ,서울특별시 종로구 삼일대로 464
1101061030006 ,서울특별시 종로구 삼일대로32길 51
1101061030007 ,서울특별시 종로구 돈화문로9길 8-1
1101061030201 ,서울특별시 종로구 돈화문로11가길 59
1101061030401 ,서울특별시 종로구 삼일대로 428
1101061040001 ,서울특별시 종로구 종로12길 15
1101061050001 ,서울특별시 종로구 창경궁로11길 26
1101063010001 ,서울특별시 종로구 율곡로23가길 8-6
1101063010002 ,서울특별시 종로구 충신4나길 6-1
1101063010003 ,서울특별시 종로구 충신길 50
1101063010004 ,서울특별시 종로구 낙산성곽서길 13-8
1101063010005 ,서울특별시 종로구 율곡로19가길 11
1101063010006 ,서울특별시 종로구 율곡로27길 5
1101063020001 ,서울특별시 종로구 김상옥로 30
1101063020002 ,서울특별시 종로구 율곡로 202
1101063030001 ,서울특별시 종로구 종로39길 34
1101063030002 ,서울특별시 종로구 율곡로14길 43
1101063040001 ,서울특별시 종로구 종로40가길 20
1101064010001 ,서울특별시 종로구 이화장길 70-13
1101064010002 ,서울특별시 종로구 대학로8가길 119
1101064010003 ,서울특별시 종로구 율곡로17길 7-38
1101064010004 ,서울특별시 종로구 대학로 64
1101064010005 ,서울특별시 종로구 동숭길 113
1101064010006 ,서울특별시 종로구 낙산4길 24
1101064010007 ,서울특별시 종로구 동숭3길 32-3
1101064010008 ,서울특별시 종로구 동숭4나길 38
1101064010009 ,서울특별시 종로구 동숭4길 52
1101064010010 ,서울특별시 종로구 이화장2길 48
1101064010011 ,서울특별시 종로구 율곡로19길 41-3
1101064010012 ,서울특별시 종로구 동숭4라길 24-1
1101064020001 ,서울특별시 종로구 대학로 57
